Optimization,Group,Model,File,Run,MSE,nRMSE,Conservation,MaxError,Boundary,FT_Low,FT_Mid,FT_High
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run1,0.011671512387692928,0.020507266744971275,0.001733291195705533,0.37898409366607666,0.024690303951501846,0.0012572139967232943,0.0008455141796730459,0.0006282445974647999
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run2,0.011737756431102753,0.020576927810907364,0.0016146473353728652,0.3887210786342621,0.023877471685409546,0.0012120298342779279,0.0009612810099497437,0.0006207386613823473
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run3,0.011493930593132973,0.020228199660778046,0.0011951671913266182,0.38511866331100464,0.02330644056200981,0.0010405927896499634,0.0008512819767929614,0.0006200494826771319
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run4,0.011895069852471352,0.02084796503186226,0.0017623011954128742,0.40824010968208313,0.02491002529859543,0.0013590991729870439,0.0008595483377575874,0.0006329058669507504
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run5,0.011786345392465591,0.020724952220916748,0.001777607249096036,0.39730602502822876,0.024097580462694168,0.0012915818952023983,0.0008926446316763759,0.0006252828170545399
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run6,0.01259217131882906,0.021718643605709076,0.0019008942181244493,0.40002912282943726,0.025216255336999893,0.0015794335631653666,0.0010600192472338676,0.0006374259246513247
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run7,0.012123020365834236,0.021172845736145973,0.001843812526203692,0.3821873068809509,0.024551669135689735,0.00145567930303514,0.0011059679090976715,0.0006138100870884955
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run8,0.011964157223701477,0.020960282534360886,0.0017357111210003495,0.40271660685539246,0.023774877190589905,0.0012501199962571263,0.0009191422141157091,0.0006280969828367233
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run9,0.01223401352763176,0.0213979072868824,0.0018018116243183613,0.39123526215553284,0.02528531849384308,0.0013712492072954774,0.001046884572133422,0.0006293531623668969
FNO_Advection_ARB,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run10,0.011645477265119553,0.020499389618635178,0.0015392701607197523,0.37200337648391724,0.023993203416466713,0.0012637876207008958,0.0009337941883131862,0.0006139446049928665
FNO_Advection_ARB,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run1,0.012692637741565704,0.02190830186009407,0.002113905269652605,0.43535521626472473,0.026738572865724564,0.0017944553401321173,0.001191933872178197,0.000624608073849231
FNO_Advection_ARB,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run2,0.012514041736721992,0.02164728008210659,0.002036942169070244,0.4565292298793793,0.027006257325410843,0.0016807467909529805,0.0010897342581301928,0.0006307067815214396
FNO_Advection_ARB,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run3,0.012805400416254997,0.02231764793395996,0.0024618287570774555,0.4432161748409271,0.03075653687119484,0.0017157896654680371,0.0010385139612480998,0.0006494671106338501
FNO_Advection_ARB,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run4,0.012872444465756416,0.022155610844492912,0.0024492074735462666,0.44918981194496155,0.02687050774693489,0.001958063105121255,0.0011839193757623434,0.0006268664146773517
FNO_Advection_ARB,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run5,0.012295219115912914,0.021314267069101334,0.002008231822401285,0.43206238746643066,0.026085294783115387,0.0016337601700797677,0.0010664561996236444,0.0006268902216106653
FNO_Advection_ARB,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run6,0.012915380299091339,0.022194165736436844,0.002583923516795039,0.4514574110507965,0.026529952883720398,0.0020428039133548737,0.0011288742534816265,0.0006268343422561884
